name,indegree,outdegree,betweenness,my_country,reciprocity
Seniors-Amateur,0,2,0,Venezuela,0
Adults-Expert,17,5,3,Venezuela,1
Adults-Amateur,0,4,0,Venezuela,0
Seniors-Formation,0,3,0,Venezuela,0
Seniors-Expert,13,4,1.6666666666666665,Venezuela,1
Adults-No_breed,0,6,0,Venezuela,0
YoungAdults-No_breed,0,3,0,Venezuela,0
Seniors-No_breed,0,2,0,Venezuela,0
Adults-Formation,1,1,0.3333333333333333,Venezuela,0
YoungAdults-Expert,0,1,0,Venezuela,0
Seniors-Expert,40,11,0.3333333333333333,Brazil,1
Adults-Amateur,5,8,0.4666666666666666,Brazil,0.125
Adults-Formation,3,29,0,Brazil,0.10344827586206896
Seniors-Formation,2,22,1,Brazil,0
Adults-Expert,69,21,2.999999999999999,Brazil,1
Seniors-No_breed,0,8,0,Brazil,0
Seniors-Amateur,3,9,0.19999999999999998,Brazil,0
Adults-No_breed,0,11,0,Brazil,0
YoungAdults-Formation,2,3,0,Brazil,0
YoungAdults-Amateur,1,3,0,Brazil,0.3333333333333333
Adults-Expert,10,3,0,Spain,1
Adults-Amateur,1,3,1,Spain,0
Seniors-Amateur,0,2,0,Spain,0
Seniors-Expert,6,2,1,Spain,0.5
Adults-No_breed,0,2,0,Spain,0
YoungAdults-Formation,0,1,0,Spain,0
Adults-Formation,0,3,0,Spain,0
Seniors-Formation,0,1,0,Spain,0
Adults-Formation,1,5,1,Portugal,0
Adults-Expert,22,2,0,Portugal,1
Seniors-No_breed,0,1,0,Portugal,0
Adults-No_breed,0,9,0,Portugal,0
Seniors-Formation,1,4,0,Portugal,0.25
Seniors-Expert,4,6,0.9999999999999999,Portugal,0
YoungAdults-Formation,0,2,0,Portugal,0
Adults-Amateur,1,0,0,Portugal,NA
